['1', '杨晓华', '私募证券投资基金管理人', '上海市', 'P1000182', '2011-03-15', '2014-03-17']
['2', '裘国根', '私募证券投资基金管理人', '上海市', 'P1000265', '2009-06-26', '2014-03-17']
['3', '高云程', '私募证券投资基金管理人', '上海市', 'P1000267', '2012-06-06', '2014-03-17']
['4', '周楠', '私募证券投资基金管理人', '上海市', 'P1000268', '2012-02-10', '2014-03-17']
['5', '蔡明', '私募证券投资基金管理人', '深圳市', 'P1000269', '2007-04-05', '2014-03-17']
['6', '石波', '私募证券投资基金管理人', '上海市', 'P1000271', '2007-08-01', '2014-03-17']
['7', '闵昱', '私募证券投资基金管理人', '北京市', 'P1000276', '2010-05-28', '2014-03-17']
['8', '朱灿', '私募股权、创业投资基金管理人', '天津市', 'P1000287', '2011-08-05', '2014-03-17']
['9', '郭力', '私募股权、创业投资基金管理人', '天津市', 'P1000301', '2008-05-22', '2014-03-17']
['10', '杜昌焘', '私募股权、创业投资基金管理人', '广东省', 'P1000302', '2009-07-15', '2014-03-17']
['11', '唐斌', '私募股权、创业投资基金管理人', '上海市', 'P1000303', '2007-04-28', '2014-03-17']
['12', '王小坚', '私募证券投资基金管理人', '上海市', 'P1000318', '2011-07-01', '2014-03-17']
['13', '但斌', '私募证券投资基金管理人', '深圳市', 'P1000320', '2004-03-23', '2014-03-17']
['14', '陈海峰', '私募证券投资基金管理人', '上海市', 'P1000321', '2007-04-29', '2014-03-17']
['15', '陈家琳', '私募证券投资基金管理人', '上海市', 'P1000323', '2007-10-10', '2014-03-17']
['16', '刘睿', '私募证券投资基金管理人', '深圳市', 'P1000326', '2009-02-10', '2014-03-17']
['17', '朱晓兵', '私募证券投资基金管理人', '上海市', 'P1000385', '2003-12-12', '2014-03-17']
['18', '余定恒', '私募证券投资基金管理人', '深圳市', 'P1000388', '2006-11-10', '2014-03-17']
['19', '岳志武', '私募证券投资基金管理人', '浙江省', 'P1000391', '2010-03-08', '2014-03-17']
['20', '曾昭雄', '私募证券投资基金管理人', '深圳市', 'P1000406', '2012-02-28', '2014-03-17']
['1', '杨晓华', '私募证券投资基金管理人', '上海市', 'P1000182', '2011-03-15', '2014-03-17']
['2', '裘国根', '私募证券投资基金管理人', '上海市', 'P1000265', '2009-06-26', '2014-03-17']
['3', '高云程', '私募证券投资基金管理人', '上海市', 'P1000267', '2012-06-06', '2014-03-17']
['4', '周楠', '私募证券投资基金管理人', '上海市', 'P1000268', '2012-02-10', '2014-03-17']
['5', '蔡明', '私募证券投资基金管理人', '深圳市', 'P1000269', '2007-04-05', '2014-03-17']
['6', '石波', '私募证券投资基金管理人', '上海市', 'P1000271', '2007-08-01', '2014-03-17']
['7', '闵昱', '私募证券投资基金管理人', '北京市', 'P1000276', '2010-05-28', '2014-03-17']
['8', '朱灿', '私募股权、创业投资基金管理人', '天津市', 'P1000287', '2011-08-05', '2014-03-17']
['9', '郭力', '私募股权、创业投资基金管理人', '天津市', 'P1000301', '2008-05-22', '2014-03-17']
['10', '杜昌焘', '私募股权、创业投资基金管理人', '广东省', 'P1000302', '2009-07-15', '2014-03-17']
['11', '唐斌', '私募股权、创业投资基金管理人', '上海市', 'P1000303', '2007-04-28', '2014-03-17']
